Vd,Id,Ig,Vg
0,-2.6E-13,-1.26E-12,0
1,7.8986E-11,-8.029E-12,0
2,1.52148E-10,-1.8139E-11,0
3,1.79832E-10,-2.1154E-11,0
4,2.08722E-10,-2.2093E-11,0
5,2.11053E-10,-2.1725E-11,0
6,2.38236E-10,-2.1313E-11,0
7,2.73785E-10,-2.0566E-11,0
8,3.60398E-10,-2.0173E-11,0
9,4.08203E-10,-2.0855E-11,0
10,4.61832E-10,-2.1653E-11,0
11,5.24821E-10,-2.0722E-11,0
12,5.89369E-10,-2.0172E-11,0
13,7.33041E-10,-2.0712E-11,0
14,7.61012E-10,-2.0735E-11,0
15,8.8172E-10,-2.1125E-11,0
16,8.6582E-10,-2.2972E-11,0
17,8.4991E-10,-2.2006E-11,0
18,8.9398E-10,-2.0683E-11,0
19,9.0526E-10,-2.1835E-11,0
20,1.06358E-09,-2.1506E-11,0
21,1.12877E-09,-2.2289E-11,0
22,1.10158E-09,-2.2696E-11,0
23,1.19361E-09,-2.0856E-11,0
24,1.44282E-09,-2.1308E-11,0
25,1.41336E-09,-2.3004E-11,0
26,1.54387E-09,-2.2342E-11,0
27,1.57176E-09,-2.267E-11,0
28,1.9035E-09,-2.2971E-11,0
29,2.05101E-09,-2.2664E-11,0
30,2.18046E-09,-2.2414E-11,0
29,9.00243E-10,-1.214E-12,0
28,5.90194E-10,5.623E-12,0
27,4.74256E-10,1.1943E-11,0
26,4.60608E-10,1.503E-11,0
25,4.52241E-10,1.7046E-11,0
24,4.50187E-10,1.7438E-11,0
23,6.75096E-10,1.8077E-11,0
22,5.78988E-10,1.7468E-11,0
21,5.15817E-10,1.7371E-11,0
20,6.17233E-10,1.7285E-11,0
19,6.64498E-10,1.7407E-11,0
18,5.89773E-10,1.7428E-11,0
17,1.4234E-09,1.7752E-11,0
16,7.00214E-10,1.1993E-11,0
15,7.94682E-10,1.6436E-11,0
14,5.53057E-10,1.4988E-11,0
13,7.29858E-10,1.632E-11,0
12,7.37186E-10,1.7836E-11,0
11,7.59691E-10,1.9151E-11,0
10,7.5187E-10,1.8264E-11,0
9,9.01486E-10,1.7843E-11,0
8,1.07494E-09,1.9179E-11,0
7,9.06444E-10,1.704E-11,0
6,1.75388E-09,1.9344E-11,0
5,1.708E-09,1.3275E-11,0
4,8.59274E-10,1.2765E-11,0
3,7.27815E-10,1.7993E-11,0
2,5.8919E-10,1.9984E-11,0
1,3.31992E-10,2.0447E-11,0
0,-6.106E-12,2.0589E-11,0
0,-6.2892E-11,-4.3E-13,5
1,1.23755E-06,-1.561E-12,5
2,2.45184E-06,-8.577E-12,5
3,3.24494E-06,-1.9152E-11,5
4,3.69081E-06,-2.2136E-11,5
5,3.86928E-06,-2.4107E-11,5
6,3.90978E-06,-2.4591E-11,5
7,3.8284E-06,-2.6796E-11,5
8,3.73279E-06,-2.5416E-11,5
9,3.69223E-06,-2.526E-11,5
10,3.75802E-06,-3.1394E-11,5
11,4.26756E-06,-1.6981E-11,5
12,4.21728E-06,-2.5674E-11,5
13,3.40228E-06,-3.9126E-11,5
14,3.59019E-06,-1.316E-11,5
15,4.03124E-06,-1.2703E-11,5
16,4.44739E-06,-1.2226E-11,5
17,4.46197E-06,-1.733E-11,5
18,4.45462E-06,-1.8927E-11,5
19,4.54958E-06,-1.9793E-11,5
20,5.02325E-06,-1.3061E-11,5
21,5.06502E-06,-2.1564E-11,5
22,5.2329E-06,-1.881E-11,5
23,5.5697E-06,-1.6088E-11,5
24,5.26447E-06,-2.8439E-11,5
25,4.85185E-06,-2.5631E-11,5
26,5.04624E-06,-1.6241E-11,5
27,5.2022E-06,-1.7518E-11,5
28,5.37388E-06,-1.7981E-11,5
29,5.45399E-06,-1.9462E-11,5
30,5.78868E-06,-1.4793E-11,5
29,4.34008E-06,-3.889E-12,5
28,3.41841E-06,-1.477E-12,5
27,2.66037E-06,-1.21E-12,5
26,2.10448E-06,-1.137E-12,5
25,1.65451E-06,-9.87E-13,5
24,1.30359E-06,4.3E-14,5
23,1.0712E-06,2.638E-12,5
22,1.001874E-06,1.2916E-11,5
21,1.011414E-06,1.6054E-11,5
20,1.021482E-06,1.784E-11,5
19,1.025705E-06,1.7096E-11,5
18,1.047622E-06,1.8924E-11,5
17,1.06664E-06,1.9681E-11,5
16,1.06818E-06,1.9165E-11,5
15,1.05485E-06,1.7511E-11,5
14,1.31056E-06,3.2956E-11,5
13,1.55692E-06,3.1371E-11,5
12,1.43294E-06,1.3946E-11,5
11,1.32301E-06,1.1084E-11,5
10,1.40139E-06,2.1529E-11,5
9,1.23343E-06,1.0155E-11,5
8,1.12549E-06,1.5241E-11,5
7,1.023078E-06,1.4907E-11,5
6,9.49123E-07,1.7574E-11,5
5,9.18342E-07,2.1393E-11,5
4,8.70514E-07,2.1332E-11,5
3,7.82574E-07,2.2125E-11,5
2,6.50272E-07,2.4728E-11,5
1,3.57585E-07,2.0763E-11,5
0,-2.5726E-11,2.1237E-11,5
0,-6.02745E-10,1.49E-13,10
1,1.23589E-05,-1.04E-12,10
2,2.47162E-05,-1.192E-12,10
