Vg,Id,Ig,Vd
0,1.76899E-07,-1.281E-12,1
1,2.36093E-07,-1.122E-12,1
2,3.13246E-07,-1.066E-12,1
3,4.05441E-07,-9.81E-13,1
4,5.16171E-07,-9.51E-13,1
5,6.1404E-07,-8.51E-13,1
6,7.72904E-07,-8.01E-13,1
7,9.67597E-07,-7.62E-13,1
8,1.12277E-06,-7.18E-13,1
9,1.33568E-06,-6.29E-13,1
10,1.5438E-06,-5.67E-13,1
11,1.79083E-06,-5.03E-13,1
12,2.04585E-06,-4.16E-13,1
13,2.30459E-06,-3.69E-13,1
14,2.78011E-06,-3.52E-13,1
15,3.1421E-06,-3.01E-13,1
16,3.51542E-06,-2.46E-13,1
17,4.0088E-06,-1.75E-13,1
18,4.55323E-06,-1.53E-13,1
19,5.04191E-06,-9.3E-14,1
20,5.52438E-06,-5.9E-14,1
21,6.02221E-06,-5.2E-14,1
22,6.5676E-06,4.2E-14,1
23,7.20658E-06,1.56E-13,1
24,7.59648E-06,2.34E-13,1
25,8.41023E-06,3.16E-13,1
26,9.3026E-06,2.71E-13,1
27,9.98111E-06,2.88E-13,1
28,1.067646E-05,3.09E-13,1
29,1.12011E-05,4.23E-13,1
30,1.16869E-05,4.41E-13,1
29,1.09387E-05,7E-14,1
28,1.01125E-05,-6.8E-14,1
27,9.47593E-06,-1.77E-13,1
26,8.77001E-06,-1.92E-13,1
25,8.17023E-06,-2.85E-13,1
24,7.53537E-06,-3.99E-13,1
23,6.93144E-06,-5.02E-13,1
22,6.23403E-06,-5.46E-13,1
21,5.69676E-06,-6.59E-13,1
20,5.12453E-06,-6.81E-13,1
19,4.61446E-06,-6.82E-13,1
18,4.11882E-06,-7.26E-13,1
17,3.66931E-06,-8.14E-13,1
16,3.26904E-06,-8.4E-13,1
15,2.87404E-06,-9.26E-13,1
14,2.49797E-06,-9.39E-13,1
13,2.18484E-06,-9.95E-13,1
12,1.88615E-06,-1.062E-12,1
11,1.61291E-06,-1.127E-12,1
10,1.37322E-06,-1.195E-12,1
9,1.15182E-06,-1.225E-12,1
8,9.6353E-07,-1.28E-12,1
7,7.88458E-07,-1.358E-12,1
6,6.46686E-07,-1.374E-12,1
5,5.20061E-07,-1.441E-12,1
4,4.18634E-07,-1.49E-12,1
3,3.30267E-07,-1.517E-12,1
2,2.52911E-07,-1.597E-12,1
1,1.92823E-07,-1.601E-12,1
0,1.48484E-07,-1.651E-12,1
-1,1.07975E-07,-1.707E-12,1
-2,7.80959E-08,-1.785E-12,1
-3,5.38612E-08,-1.859E-12,1
-4,3.39395E-08,-1.93E-12,1
-5,2.14541E-08,-1.967E-12,1
-6,1.23338E-08,-2.069E-12,1
-7,6.52079E-09,-2.176E-12,1
-8,2.50089E-09,-2.231E-12,1
-9,9.38157E-10,-2.324E-12,1
-10,5.10864E-10,-2.377E-12,1
-11,3.19585E-10,-2.393E-12,1
-12,8.7148E-11,-2.401E-12,1
-13,3.6E-12,-2.454E-12,1
-14,1.074E-12,-2.476E-12,1
-15,1.088E-12,-2.462E-12,1
-14,1.19E-12,-2.049E-12,1
-13,1.1387E-11,-1.91E-12,1
-12,1.99204E-10,-1.747E-12,1
-11,4.98772E-10,-1.604E-12,1
-10,9.53505E-10,-1.497E-12,1
-9,2.13462E-09,-1.567E-12,1
-8,5.93524E-09,-1.459E-12,1
-7,1.38678E-08,-1.444E-12,1
-6,2.47995E-08,-1.37E-12,1
-5,3.96935E-08,-1.314E-12,1
-4,5.83391E-08,-1.269E-12,1
-3,8.33495E-08,-1.229E-12,1
-2,1.14997E-07,-1.165E-12,1
-1,1.57378E-07,-1.132E-12,1
0,2.03978E-07,-1.1E-12,1
0,2.19572E-07,-1.333E-12,2
1,2.97487E-07,-1.148E-12,2
2,3.91857E-07,-1.083E-12,2
3,4.9441E-07,-1.017E-12,2
4,6.24658E-07,-9.31E-13,2
5,7.76917E-07,-9.01E-13,2
6,9.51578E-07,-8.3E-13,2
7,1.14223E-06,-8.11E-13,2
8,1.36817E-06,-7.42E-13,2
9,1.61285E-06,-6.97E-13,2
10,1.91674E-06,-6.4E-13,2
11,2.2323E-06,-6.03E-13,2
12,2.60048E-06,-5.75E-13,2
13,3.0049E-06,-5.43E-13,2
14,3.43489E-06,-4.84E-13,2
15,3.93034E-06,-3.89E-13,2
16,4.44408E-06,-3.91E-13,2
17,5.04335E-06,-3.56E-13,2
18,5.65835E-06,-2.7E-13,2
19,6.29611E-06,-2.3E-13,2
20,7.06664E-06,-1.48E-13,2
21,7.8224E-06,-7E-14,2
22,8.641E-06,-2E-14,2
23,9.51654E-06,1E-14,2
24,1.039712E-05,5.4E-14,2
25,1.1388E-05,1.58E-13,2
26,1.24525E-05,1.25E-13,2
27,1.35276E-05,1.44E-13,2
28,1.47375E-05,2.24E-13,2
29,1.59146E-05,3.34E-13,2
30,1.72327E-05,3.5E-13,2
29,1.56886E-05,3.2E-14,2
28,1.42943E-05,-1.02E-13,2
27,1.29965E-05,-2.47E-13,2
26,1.18026E-05,-3.53E-13,2
25,1.07237E-05,-4.09E-13,2
24,9.69794E-06,-4.72E-13,2
23,8.75187E-06,-4.86E-13,2
22,7.86891E-06,-5.28E-13,2
21,7.08666E-06,-6.04E-13,2
20,6.30464E-06,-7.01E-13,2
19,5.67485E-06,-7.49E-13,2
18,5.02396E-06,-8.12E-13,2
17,4.42228E-06,-8.75E-13,2
16,3.88304E-06,-9.35E-13,2
15,3.42239E-06,-9.66E-13,2
14,2.97477E-06,-1.053E-12,2
13,2.58663E-06,-1.103E-12,2
12,2.22124E-06,-1.163E-12,2
11,1.90341E-06,-1.2E-12,2
10,1.61459E-06,-1.232E-12,2
9,1.36095E-06,-1.275E-12,2
8,1.1435E-06,-1.303E-12,2
7,9.41488E-07,-1.376E-12,2
6,7.73966E-07,-1.427E-12,2
5,6.34041E-07,-1.459E-12,2
4,5.15973E-07,-1.519E-12,2
3,4.12219E-07,-1.561E-12,2
2,3.21469E-07,-1.626E-12,2
1,2.44044E-07,-1.676E-12,2
0,1.87608E-07,-1.702E-12,2
-1,1.43771E-07,-1.755E-12,2
-2,1.05954E-07,-1.844E-12,2
-3,7.51502E-08,-1.919E-12,2
-4,5.38381E-08,-1.975E-12,2
-5,3.66417E-08,-2.079E-12,2
-6,2.34871E-08,-2.124E-12,2
-7,1.34719E-08,-2.181E-12,2
-8,7.34228E-09,-2.231E-12,2
-9,3.14119E-09,-2.313E-12,2
-10,1.2169E-09,-2.384E-12,2
-11,6.53152E-10,-2.414E-12,2
-12,4.68213E-10,-2.462E-12,2
